;ProcessNumber;ContractingInstitutionName;CIAddress;CICity;CICPostalCode;Subject;ProcurementName;ShipmentLocationDescription;IsSectorAgreement;CentralInstitution;GroupProcurement;ContractTermination;ZPJN;IsDevided;AgreementStartDate;AgreementEndDate;AgreeementDurationMonthsDays;ProcedureName;OfferTypeName;UseElectronicTools;ContractDate;ContractNumber;NumberOfOffers;HighestOfferValue;LowestOfferValue;VendorName;VendorAddress;VendorCity;VendorState;GroupBid;EstimatedPrice;ContractPriceWithoutVat;Vat;ContractPrice;DateOfDispatchBJN
1220;07439/2020;Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје;ул. 11 Октомври бр.9;Скопје;1000;Специјализирани браварско-заварувачки услуги (РЕК Осломеј);Услуги;Подружница РЕК Осломеј;Не;Не;Не;Не;45262680-1;Да;;;Месеци: 12;Отворена постапка;Цена;Да;2020-07-20;17007/20;1.0;1560.0;1560.0;Друштво за производство, трговија и услуги ЕЛ ТЕ ИНЖЕНЕРИНГ Горан и др. ДОО експорт-импорт Скопје;БУЛЕВАР “СВЕТИ КЛИМЕНТ ОХРИДСКИ“ 66/1-6;СКОПЈЕ - ЦЕНТАР;Република Македонија;Да;7080000.0;1500000.0;18;1770000.0;2020-08-06
1221;;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Нас.Козле б.б.;Скопје;1000;Набавка на лекови и медицински потрошен материјал за COVID-19 центар;Стоки;ЈЗУ Институт по белодробни заболувања кај децата Козле Скопје;Не;Не;Не;Не;;Да;07/09/2020;10/07/2020;Месеци: 3 Денови: 90;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2020-07-07;0307-392/1;16.0;7020000.0;9384.0;Друштво за сервис,ремонт и монтажа на лифтови и трговија на големо и мало и увоз-извоз СЕРВИС ДАКА,Попоски Трајан Битола ДООЕЛ;МИХАИЛ АПОСТОЛСКИ-ДОНЧО 15;БИТОЛА;Република Македонија;Не;8519498.3;155280.0;18;183230.4;2020-08-06
1222;08803/2020;ЈЗУ Универзитетска клиника за физикална медицина и рехабилитација - Скопје;Елисие Поповски 28;Скопје;1000;Набавка на детергенти и сретства за хигиена;Стоки;во магацините на установата;Не;Не;Не;Не;24000000-4;Не;06/08/2021;07/07/2021;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-07-07;03-757/1;8.0;1385100.0;326839.0;Друштво за производство,трговија и услуги РИКИ-ЈУНИОР ДООЕЛ увоз-извоз Кочани;ЛЕНИНОВА ББ;КОЧАНИ;Република Македонија;Не;472000.0;253239.0;18;298822.02;2020-07-22
1223;07980/2020;ЈЗУ Клиника за Гастроентерохепатологија;Водњанска 17;Скопје;1000;Средства за дезинфекција;Стоки;;Не;Не;Не;Не;33741300-9;Да;07/13/2020;07/13/2021;;Набавки од мала вредност;Цена;Да;2020-07-13;03-5/171;2.0;435750.0;9900.0;Друштво за производство,услуги и промет ПФЦ ТРАДЕ Драги и др.ДОО увоз-извоз Скопје;МИТО ХАЏИВАСИЛЕВ - ЈАСМИН 18/БЛОК 7-ЛОКАЛ 2;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;708000.0;509350.0;0/5/18%;536949.0;2020-07-22
1224;09204/2020;ЈЗУ Општа болница Велес;Самоборска бб;Велес;1400;Вреки и кутии за складирање на отпад;Стоки;;Не;Не;Не;Не;19500000-1;Да;12/18/2020;07/20/2021;Месеци: 6 Денови: 180;Набавки од мала вредност;Цена;Да;2020-07-20;05-30/11;7.0;463350.0;10500.0;Друштво за производство трговија и услуги МАЛИНА ВЕЛЕС извоз-увоз ДООЕЛ Велес;ВАРДАРСКА 36;ВЕЛЕС;Република Македонија;Не;335419.72;119399.0;0/5/18%;140890.82;2020-07-22
1225;02152/2020;Детска градинка Раде Јовчевски Корчагин - Скопје;бул.Кочо Рацин бб;Скопје;1000;Прочистувачи за воздух;Стоки;Бул.„Кочо Рацин“ бр.24-Скопје;Не;Не;Не;Не;42514200-4;Не;03/04/2020;03/03/2021;Месеци: 12 Денови: 365;Набавки од мала вредност;Цена;Да;2020-03-04;05-94;2.0;73896.0;73800.0;Друштво за производство, трговија и занаетчиство БОКИ СИМПЛ ТЕК СОЛУШНС ДОО Скопје;ФУШТАНСКА 132А;СКОПЈЕ - ГАЗИ БАБА;Република Македонија;Не;87199.64;46790.0;18;55212.2;2020-08-05
1226;07439/2020;Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје;ул. 11 Октомври бр.9;Скопје;1000;Специјализирани браварско-заварувачки услуги (РЕК Осломеј);Услуги;Подружница РЕК Осломеј;Не;Не;Не;Не;45262680-1;Да;;;Месеци: 12;Отворена постапка;Цена;Да;2020-07-20;17008/20;1.0;1730.0;1730.0;Друштво за производство, трговија и услуги ЕЛ ТЕ ИНЖЕНЕРИНГ Горан и др. ДОО експорт-импорт Скопје;БУЛЕВАР “СВЕТИ КЛИМЕНТ ОХРИДСКИ“ 66/1-6;СКОПЈЕ - ЦЕНТАР;Република Македонија;Да;7080000.0;1500000.0;18;1770000.0;2020-08-06
1227;07018/2020;Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје;ул. 11 Октомври бр.9;Скопје;1000;Масло редукторско (РЕК Битола);Стоки;РЕК Битола;Не;Не;Не;Не;09211500-6;Да;07/28/2020;07/28/2021;Месеци: 12;Отворена постапка;Цена;Да;2020-07-28;09р-4012/1;6.0;200.0;100.0;Друштво за производство на моторни и индустриски масла,трговија и услуги 3 СТ увоз-извоз ДООЕЛ Илинден;21 8;ИЛИНДЕН;Република Македонија;Не;11761522.56;1500000.0;18;1770000.0;2020-08-06
1228;01509/2020;ЈЗУ Општа болница - Струга;ул.„Кеј 8-ми Ноември“ б.б.;Струга;6330;Медицински потрошен материјал, медицински помагала, сутурен м-јал, средства за дезинфекција и хартија за медицински апарати, вид и количина е наведен во спецификација.;Стоки;Болничка аптека / магацин на ЈЗУ Општа болница - Струга;Не;Не;Не;Не;09221100-5,14820000-5,24312210-9,24315300-8,24322220-5,24455000-8,30192310-7,30192320-0,30197641-1,33000000-0,33140000-3,33141100-1,33141110-4,33141111-1,33141112-8,33141114-2,33141115-9,33141118-0,33141121-4,33141123-8,33141125-2,33141126-9,33141127-6,33141200-2,33141240-4,33141310-6,33141320-9,33141321-6,33141328-5,33141411-4,33141420-0,33141615-4,33141624-0,33141640-8,33141641-5,33141642-2,33141700-7,33171000-9,33171100-0,33171110-3,33171200-1,33171300-2,33196000-0,33198200-6,33199000-1,33712000-4,33721000-0,33734100-5,33741200-8,33741300-9,33771100-6,33771200-7,38911000-4,42913500-4;Да;;;Месеци: 12;Отворена постапка;Цена;Да;2020-07-13;03-1161/1;5.0;720000.0;1875.0;Друштво за промет МАКЕДОНИЈАЛЕК ДОО Скопје;БОЦА ИВАНОВА 1;СКОПЈЕ - БУТЕЛ;Република Македонија;Не;16024400.0;613781.0;18;724261.58;2020-08-05
1229;07210/2020;ЈП Охридски Комуналец Охрид;Нов Расадник бб;Охрид;6000;Набавка на Лични заштитни средства;Стоки;франко магацин на ЈП Охридски Комуналец Охрид;Не;Не;Не;Не;18000000-9;Да;;;Месеци: 12;Поедноставена отворена постапка;Цена;Да;2020-07-21;03-406/11;3.0;120000.0;96000.0;Друштво за производство, трговија и услуги ДВОРНИК ДООЕЛ Скопје;8-МИ МАРТ 2;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;2360000.0;200080.0;18;236094.4;2020-08-05
