;ProcessNumber;ContractingInstitutionName;CIAddress;CICity;CICPostalCode;Subject;ProcurementName;ShipmentLocationDescription;IsSectorAgreement;CentralInstitution;GroupProcurement;ContractTermination;ZPJN;IsDevided;AgreementStartDate;AgreementEndDate;AgreeementDurationMonthsDays;ProcedureName;OfferTypeName;UseElectronicTools;ContractDate;ContractNumber;NumberOfOffers;HighestOfferValue;LowestOfferValue;VendorName;VendorAddress;VendorCity;VendorState;GroupBid;EstimatedPrice;ContractPriceWithoutVat;Vat;ContractPrice;DateOfDispatchBJN
0;2/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Осигурување при регистрација на службените возила на Министерството за здравство;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-06-05;;;;;Акционерско друштво ЕВРОИНС ОСИГУРУВАЊЕ Скопје;;;;Не;;;;183860.0;2019-07-09
1;13/2019;Општина Свети Николе;Плоштад Илинден бр:12;Свети Николе;2220;Пластични канти за отпад;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-04-10;;;;;Друштво за производство трговија и услуги АКВАФРИПЛАСТ ДООЕЛ увоз-извоз Скопје;;;;Не;;;;471528.0;2020-02-12
2;02-35/4/2019;ЈУМЦСР ДЕБАР;Атанасие Илиќ бр.45;Дебар;1250;ТОНЕРИ;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-03-18;;;;;Друштво за трговија и услуги УНИВЕРСАЛ СТОРЕ ДООЕЛ Дебар;;;;Не;;;;61997.0;2020-12-14
3;18/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Изработка на проектно-техничка документација - Основен проект за изработка на дво-воден кров и поправки на оштетувања од протекувања на објект од ЈЗУ ЗД Дебар;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-07-23;;;;;Друштво за производство,градежништво,услуги и трговија МАРТИН ИНЖЕНЕРИНГ ДООЕЛ увоз-извоз Скопје;;;;Не;;;;293820.0;2019-11-06
4;013/2019;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на капаци , шахти и сливници;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-04-12;;;;;Друштво за производство,трговија и услуги ВОДОПЛАСТ ДОО увоз-извоз Кочани;;;;Не;;;;434240.0;2019-05-31
5;;Општина Кичево;Борис Кидрич.1;Кичево;6250;Хотелски Услуги;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-09-10;;;;;Друштво за трговија, угостителство и услуги МАРГОТРИ ГРУП  експорт-импорт ДООЕЛ Кичево;;;;Не;;;;1180000.0;2020-04-03
6;31/2018;ЈП Водовод Куманово;Фетка Наскова бр. 22;Куманово;1300;Набавка на заштитни обувки;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-12-24;;;;;Друштво за трговија МУЛТИТЕКС ДОО увоз-извоз Битола;;;;Не;;;;650156.4;2020-02-17
7;3/2019;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;реагенс за одредување на глукоза  ензиматска  GOD-PAP метода или еквивалентно   500   mL   3.000, реагенс со LCF за одредување на  триглицериди ензиматска  GPO-PAP метода или еквивалентно    500   mL   3.000, реагенс со LCF за одредување на холестерол ензиматска  CHOD-PAP метода или еквивалентно     500    mL    3.000, реагенс за уреа, кинетичко одредување  уреаза/GLDH метода или еквивалентно   500   mL   2.500, реагенс за креатинин, “modJaffe”   метода или кинетичко одредување или  евивалентно стабилноста на работн.реагенс на температура од 15-25 °C да биде минимум две до четири недели        500      mL      2.300, реагенс за AST,  IFCC метода или еквивалентно стабилноста на работ. реагенс на темпер. од 2-8 °C биде минимум 30 дена и повеќе     400     mL     2.000, реагенс за одредување на ALT,  IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      400        mL       2.000, реагенс за одредување на ALT,  IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      400        mL       2.000, реагенс  за одредување на  ALP, IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      100      mL      150, реагенс за одредување на GGT,  IFCC метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      100      mL      150, реагенс за одредување на алфа амилаза, IFCC метода или еквивалентно стабилноста на реаген. реагенс на температура од 2-8 °C да биде минимум 30 дена и повеќе по отварањето       100       mL       150, реагенс за одредување на  CК-МB, имуноинхибициона метода или еквивалентно стабилноста на работн. реагенс на темпертура од 2-8 °C биде минимум 30 дена и повеќе      100      mL      150, ASO, квалитативно и семиквантитативно одредување аглутинациски тест со плочки и + и- контрола или еквивалентно    150    тест    200, CRP, квалитативно и семиквантитативно одредување аглутинациски тест со плочки и + и- контрола или еквивалентно    100    тест    150, RF, квалитативно и семиквантитативно одредување аглутинациски тест со плочки и + и- контрола или еквивалентно    150    тест    200, реагенс за одредување на железо колориметриска ферозин метода или еквивалентно   400   mL   1500, реагенс со LCF за одредување на железо колориметриска  (CAB) метода   400   mL   800, реагенс за одредување на калциум ортокрезолфталеин метода или еквивалентно   100   mL   100, реагенс за одредување на фосфор фосфомолибдатнаметодаилиеквивалентно   100   mL   100, реагенс со LCF одредување на  магнеизум ксилидил сино метода или еквивалентно  200  mL  100, HbA1с, point-of Care (POC) одредување метода афинитетна хроматограф., имунофлуоресцентна метода или еквивалентно      25-30    тест    200, реагенс за одредување на тотален билирубин Јендраксик – гроф метода или еквивалентно   200   mL   250, реагенс за одредување на директен  билирубин Јендраксик – гроф метода или еквивалентно    200    mL    250, контролен серум- за биохемиски анализи (патолошки)    контролниот серум  да биде производ од човечки серум- лиофилизат, да ги има вредностите за следните тестови: глукоза, уреа, креатинин, триглицериди, вк. холестерол, вк. протеини, вкупен и директен билирубин, фосфор, вкупен калциум, магнезиум, железо,  HDL холестерол, LDL холестерол, ацидум урикум, албумин, AST, ALT, ALP, LDH, CK-NAC, GGT, α-амилаза             25             mL             20, вкупен тироксин (Т4),  рoint-of-Care (POC) одредување  имунофлуоресцентнаметодаилиеквивалентно  25  тест  200, тиреостимулирачки хормон (TSH),   рoint-of-Care (POC) одредување  имунофлуоресцентнаметодаилиеквивалентно  25  тест  250, простата специфичен антиген (PSA),  рoint-of-Care (POC) одредување  имунофлуоресцентна метода или еквивалентно  25  тест   175;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-10;;;;;Друштво за промет и услуги Л & Н & Т ДИАГНОСТИК ДООЕЛ Скопје;;;;Не;;;;199340.23;2020-11-26
8;3/2019;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;реагенс калибратор за електролитен анализатор Smartlyte или еквивалентно   парче   2, Ca електрода за електролитен анализатор Smartlyte или еквивалентно   парче   1, црево за перисталтична пумпа за електролитен анализатор Smartlyte или еквивалентно    парче    1, црево за вентилно спојување за електролитен анализатор Smartlyte или еквивалентно    парче    1, куќиште за референтна електрода за електролитен анализатор Smartlyte или еквивалентно    парче    1, реагенс за разредување (дилуент) реагенсот да биде баркод кодиран компатибилен за хематолошкиот анализатор  SYSMEX XP-300, во пакување од 20L         L         180      реагенс за лизирање реагенсот да биде баркод кодиран компатибилен за хематолошки анализатор  SYSMEXXP-300, во пакување од 0,5L         L         9, реагенс за концентрирано испирање (клинер) реагенсот да биде баркод кодиран компатибилен за хематолошки анализатор  SYSMEXXP-300, во пакување од 50 ml           ml          200 контролна крв за крвна слика (патолошка или нормална) контролната крв да биде баркод кодирана, контролната крв да ги има вредностите на следните параметри, Er, Le, Tr, Hb, HCT, MCV, MCH, MCHC, PCT, RDW, MPV, PDW, LYM, MON, GRA          ml          32,2;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-10;;;;;Друштво за промет и консалтинг ФАРМАХЕМ ДООЕЛ Скопје;;;;Не;;;;225683.26;2020-11-26
9;30/2018;ЈП Водовод Куманово;Фетка Наскова бр. 22;Куманово;1300;Антифриз,глицерин и други средства;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-11-27;;;;;Друштво за производство на моторни и индустриски масла,трговија и услуги 3 СТ увоз-извоз ДООЕЛ Илинден;;;;Не;;;;234762.18;2020-02-17
10;3/2019;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;центрифушки епрувети со конусно дно без прстен  10 mL неградуирани    парче    50, обични стаклени епрувети  7.5cm x 1cm  парче  500, Варијабилна автоматска микропипета 10-100mL парче 1, жолти наставци за автоматски микропипети кратко грло ПВЦ наставци 10 -100 µL за земање серум   парче   12000, сини наставци за автоматски пипети, компатибилни за BRAND пипетор  долго грло    ПВЦ наставци 100-1000 µL за земање серум     парче     3000;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-10;;;;;Друштво за трговија,производство и услуги БИ-ЕЛ ИНЖИНЕРИНГ увоз-извоз ДООЕЛ Струмица;;;;Не;;;;7658.2;2020-11-26
11;09/2018;ООУ Рајко Жинзифов Горно Оризари;ул„Сараевска“ бб  Горно Оризари;Велес;1408;Набавка на преносни компјутери за реализација  на проектот„Растеме заедно“;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-01-30;;;;;Друштво за производство,трговија,инженеринг и услуги ИДС-КОМ ДООЕЛ Експорт-Импорт Куманово;;;;Не;;;;56700.0;2019-03-25
12;;ЈП „Стрежево“ Битола;Булевар „1-ви Мај“ б.б.;Битола;7000;Угостителски услуги;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-02-27;;;;;Друштво за производство услуги и трговија ВИЛА ВИСТА увоз-извоз ДООЕЛ с.Дихово Битола;;;;Не;;;;5880.0;2019-07-24
13;54/2018;ЈКП Водовод Битола;Климент Охридски бб;Битола;7000;Тонери за XEROX;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-11-27;;;;;Друштво за трговија и производство ИНФОТЕХНИКА ДОО Битола;;;;Не;;;;58716.0;2020-04-02
14;9/2018;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;Набавка на моторни бензини за санитетски и патнички возила;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-01-11;;;;;МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје;;;;Не;;;;353953.0;2020-11-26
15;43/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Изработка на Ревизија на проектно-техничка документација на основен проект за  Реновирање на Амбуланта на ЈЗУ УК за уво, нос и грло, во УКЦ Мајка Тереза, Скопје;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-07-23;;;;;Друштво за инженеринг, проектирање и консалтинг ЕВРО КОНСАЛТИНГ ДОО увоз-извоз Скопје;;;;Не;;;;26432.0;2019-11-06
16;02-232/1/2018;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на Фискални Апарати;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2018-05-29;;;;;Друштво за компјутерски инженеринг и мултимедија ДАВИД КОМПЈУТЕРИ ДООЕЛ експорт-импорт Скопје;;;;Не;;;;132986.0;2018-07-03
17;012/2018;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на водомери;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2018-07-18;;;;;Друштво за производство и трговија ТЕХНОСКОП ДООЕЛ Скопје;;;;Не;;;;1449040.0;2018-09-26
18;02/2018;ООУ Бајрам Шабани - Кондово;с.Кондово;Скопје;4383;Дел 2.демонтажанастарите, изработка и монтажананови ПВЦ прозорциво ООУ БАЈРАМ ШАБАНИс.Кондово;Работи;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-12-17;;;;;Друштво за производство,трговија и услуги ЕУРО-ЛЕСНИНА Нухи ДООЕЛ експорт-импорт Тетово;;;;Не;;;;164444.2;2020-11-03
19;015/2019;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на канти за отпад за домаќинства;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-05-29;;;;;Друштво за производство трговија и услуги АКВАФРИПЛАСТ ДООЕЛ увоз-извоз Скопје;;;;Не;;;;531000.0;2019-06-18
20;18-036/2018;Министерство за внатрешни работи на РСМ;Димче Мирчев  9;Скопје;1000;набавка на Хард диск;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-02-08;;;;;Друштво за производство, промет и инженеринг на информативни системи МП КОМПЈУТЕРИ ДОО Скопје;;;;Не;;;;353410.0;2019-06-06
21;42/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Изработка на проектно-техничка документација - Основен Проект за  Реновирање и адаптација на ЈЗУ УК за ТОАРИЛУЦ - Ургентен центар во УКЦ Мајка Тереза, Скопје;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-07-23;;;;;Друштво за проектирање,инженеринг,услуги и трговија ИНТ ГЛОБАЛ ИНЖЕНЕРИНГ АВ увоз-извоз ДООЕЛ Битола;;;;Не;;;;1401840.0;2019-11-06
22;20/2017;ДУРДМОВ Димитар Влахов - Скопје;Ул.Народни Херои бр.8;Скопје;1000;Останати прехрамбени производи;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-01-25;;;;;ДАУТИ КОМЕРЦ Друштво за производство, промет и услуги увоз-извоз АД с.Бојане општина Сарај;;;;Не;;;;498591.0;2018-05-02
23;07/2019;ЈЗУ Општа Болница со проширена дејност Дебар;Амди Леши бр. 51;Дебар;1250;Дел 9. Јајца;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-04-01;;;;;Друштво за производство,трговија и услуги ВЕТЕРИНАР ДОО експорт-импорт Гевгелија;;;;Не;;;;20903.0;2020-02-05
24;02-340/2017;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Интернет  услуги;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2018-02-01;;;;;Македонски Телеком Акционерско друштво за електронски комуникации - Скопје;;;;Не;;;;352725.0;2018-09-26
25;12/2019;АД ТЕЦ НЕГОТИНО;с.Дуброво, Неготино;НЕГОТИНО;1440;ИЗРАБОТКА И ЛЕЕЊЕ НА ГУМА;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-04-23;;;;;Друштво за производство и трговија увоз-извоз ТЕХНОГУМА ДОО Скопје;;;;Не;;;;118000.0;2020-03-31
26;3/2019;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;автоматски ланцети за периферна крв со длабочина на убодот  1.5 mm  парче  150;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-10;;;;;Трговско друштво за производство,промет и услуги ВЕСТА ДРОГЕРИЈА увоз-извоз ДООЕЛ Скопје;;;;Не;;;;1220.12;2020-11-26
27;4/2019;ЈП „Стрежево“ Битола;Булевар „1-ви Мај“ б.б.;Битола;7000;Технички преглед на моторни возила;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-03-14;;;;;Трговско друштво за технички испитувања и анализи центар за возила ЗДРУЖЕНИЕ НА ВОЗАЧИ ЕУРОТЕСТ Битола ДОО;;;;Не;;;;106162.24;2019-03-18
28;33/2019;Министерство за здравство;Ул. 50-та Девизија бр.14;Скопје;1000;Набавка, транспорт и монтажа на сталажи со метални полици;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-05-21;;;;;Друштво за производство,трговија и услуги увоз-извоз 30 ТИ МАРТ ДООЕЛ Радовиш;;;;Не;;;;84748.0;2019-07-09
29;02-93/1/2018;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Организација на Јубилеј во ресторант;Услуги;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-03-07;;;;;Трговско друштво за вработување на инвалидни лица - заштитно друштво за производство, трговија и услуги АЛЕ-ДАР ДООЕЛ Кочани;;;;Не;;;;62823.0;2018-04-23
30;1/2019;АПЕЛАЦИОНЕН СУД ГОСТИВАР;ул.Живко Брајковски број 1;Гостивар;1230;Набавка на тонери;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-01-30;;;;;Друштво за производство,инженеринг.консалтинг и услуги ДОАЈЕН ДАТА СИСТЕМ Мирослав ДООЕЛ експорт-импорт Скопје;;;;Не;;;;193520.0;2019-03-25
31;;ЈП „Стрежево“ Битола;Булевар „1-ви Мај“ б.б.;Битола;7000;угостителски услуги;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-03-25;;;;;ДООЕЛ Вила Виста Битола;;;;Не;;;;6500.0;2019-05-03
32;;Центар за развој на Третиот-Североисточен плански регион;Илинденска бб.;Куманово;1300;набавка на услуги за организација на 4  (четири) регионални форуми на заедницата во рамки на проектот ,,Одржлив и инклузивен рамномерен регионален развој 2017-2020,,;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-02-20;;;;;Друштво за производство, трговија и услуги ДОМЕНИКА ГРУП ДООЕЛ увоз-извоз Куманово;;;;Не;;;;264040.0;2020-01-30
33;02-205/1/2019;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на потрошен материјал за моделите на Xerox или еквивалентно;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-09;;;;;Друштво за производство, трговија и услуги ГРАФОТЕКС ДОО увоз-извоз Скопје;;;;Не;;;;18880.0;2019-06-03
34;;ЈП „Стрежево“ Битола;Булевар „1-ви Мај“ б.б.;Битола;7000;Обука;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-03-14;;;;;Друштво за друго образование на возрасни и консалтинг услуги АКАДЕМИЈА Ц.Е.С. ДООЕЛ Скопје;;;;Не;;;;10266.0;2021-03-11
35;02-08/2019;Основен суд Охрид;“Македонски Просветители“ бб;Охрид;6000;Метал детектор врата;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-02-28;;;;;Трговско друштво за производство трговија и услуги СИТИ АУТСОРСИНГ ДООЕЛ Скопје;;;;Не;;;;372290.0;2020-01-17
36;9/2019;ЈП „Стрежево“ Битола;Булевар „1-ви Мај“ б.б.;Битола;7000;Замрзнати риби;Стоки;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2019-04-04;;;;;Производство трговија на големо и мало МЕТРО АД увоз-извоз Скопје;;;;Не;;;;589260.0;2019-05-23
37;;ЈП „Стрежево“ Битола;Булевар „1-ви Мај“ б.б.;Битола;7000;Угостителски услуги;Услуги;;Не;Не;Не;Не;;Не;;;;Доделување на договор за јавна набавка за категорија на услуги 17- 27;Цена;Не;2019-02-11;;;;;Друштво за производство услуги и трговија ВИЛА ВИСТА увоз-извоз ДООЕЛ с.Дихово Битола;;;;Не;;;;2480.0;2019-07-24
38;7/18/2018;ЈЗУ Здравствен дом д-р.Иван Георгиев -Пехчево;Индустриска 5;Пехчево;2326;C01CA24 Epinephrine   раствор за инјектирање 1 mg/1 ml ампула 50, A11GA01 Ascorbic acid  раствор за инјектирање 500 mg/5 ml   ампула 300, H02AB02 Dexamethasone  раствор за инјектирање 4 mg/1 ml ампула 600, R03AC02 Salbutamol  Инхалациски раствор за небулизатор 5 mg/1 ml шише 2, M01AE03 Ketoprofen   раствор за инјектирање  или инфузија/раствор за инјектирање 100 mg/2ml ампула 600, C01BD01 Amiodarone   раствор за инјектирање  или инфузија/раствор за инјектирање 150 mg/3 ml   ампула 5, C03CA01 Furosemide   раствор за инјектирање  или инфузија/раствор за инјектирање 20mg/2ml  ампула 300, H02AB04 Methylprednisolone  прашок и вехикулум за раствор за инјектирање/инфузија/прашок и бехикулум за раствор за инектирање 40 mg/1ml(40mg) виала+ампула/ампула+ампула 200, J01FF02 Lincomycin    раствор за инјектирање  или инфузија/раствор за инјектирање 600 mg/2 ml   ампула 50, J06BB02 Tetanus  immunoglobulin наполнет инјекциски шприц 250 IE/ml инјекциски шприц 50, G04BD09 Trospium   .раствор за инјектирање  или инфузија/раствор за инјектирање  0,2 mg/5 ml   ампула 150, R06AC03 Chloropyramine  раствор за инјектирање  или инфузија/раствор за инјектирање 20 mg/2 ml ампула 30, S01BA01 Dexamethasone  капки за око,суспензија 1mg/1 ml  шише со капалка/шише со вградена капалка 10, S01HA04 Proxymetacaine,Alcaine  капки за око, раствор. 5 mg/ml шишесо капалка 50, J07AM01 Tetanus toxoid  суспензија за инјектирање 40 IE, 0,5/ml ampula 100, S01CA01 Tobramycin, dexamethasone капки за око, суспензија 3mg/1mg/1ml  шише со капалка/шише со вградена капалка 20, S01АА12 Tobramycin капки за око,раствор 3mg/1ml(о,3%) шише со капалка/шише со вградена капалка 20, S01AA12 Tobramycin маст за око 3mg/1g Alтуба 20;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-12-14;;;;;Друштво за промет МАКЕДОНИЈАЛЕК ДОО Скопје;;;;Не;;;;110208.34;2020-11-26
39;013/2018;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Винклување  на  асихрони  и  потпопни  електромотори;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2018-09-03;;;;;Друштво за производство,услуги и трговија ЕЛЕКТРО-ХЕРЦ ДООЕЛ Кочани;;;;Не;;;;383830.0;2018-09-26
40;60/2018;Општина Свети Николе;Плоштад Илинден бр:12;Свети Николе;2220;Набавка и транспорт на ризла со гранулација од 2-5 мм, до склад на ЈКП Комуналец Свети Николе;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-12-05;;;;;Друштво за производство,трговија и услуги КОЛЕ-ТРАНС ИНЖИНЕРИНГ увоз-извоз ДОО Штип;;;;Не;;;;28000.0;2020-02-12
41;21/2018;ЈП Водовод Куманово;Фетка Наскова бр. 22;Куманово;1300;Пневматици за  градежни машини;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2018-12-27;;;;;Друштво за производство, трговија и услуги  ТДА ТРЕЈД ДООЕЛ увоз -извоз Скопје;;;;Не;;;;590000.0;2020-02-17
42;02-11/2019;Основен суд Охрид;“Македонски Просветители“ бб;Охрид;6000;Canon, Kyocera, Xerox;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-05-02;;;;;Друштво за  производство,трговија и услуги ЕКОС  ДООЕЛ увоз-извоз Тетово;;;;Не;;;;28597.0;2020-01-17
43;22/2019;Служба за општи и заеднички работи на Владата на Република Северна Македонија;Плоштад Пресвета Богородица број 3;Скопје;1000;Принтер, Персонални компјутери;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-07-24;;;;;Друштво за компјутерски инженеринг,трговија и услуги СИНС СИСТЕМИ ДООЕЛ увоз-извоз Скопје;;;;Не;;;;53319.0;2019-11-06
44;012/2019;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Набавка на Печатен материјал;Стоки;;Не;Не;Не;Не;;Да;;;;Барање за прибирање понуди;Цена;Да;2019-04-24;;;;;Трговско друштво за вработување на инвалидни лица,промет и услуги ГЕНЕКС ДООЕЛ увоз-извоз Кочани;;;;Не;;;;1051863.8;2019-05-31
45;02-384/1/2018;КЈП Водовод Кочани;Д-р Николич 64;Кочани;2300;Преградување  на  канцеларија;Услуги;;Не;Не;Не;Не;;Не;;;;Барање за прибирање понуди;Цена;Да;2018-09-03;;;;;Друштво за производство,услуги и трговија ЕЛЕКТРО-ХЕРЦ ДООЕЛ Кочани;;;;Не;;;;144774.0;2018-09-26
46;00071/2020;Агенција за задолжителни нафтени резерви;ул. Орце Николов бр. 71;Скопје;1000;Информатички услуги за превентивно одржување на софтвер за сметководствено, буџетско и комерцијално работење кој го поседува и користи  ДЗРННД;Услуги;Во деловни простории на договорниот орган на ул. Орце Николов бр. 71, 1000 Скопје;Не;Не;Не;Не;72267000-4;Не;;;Месеци: 12;Набавки од мала вредност;Цена;Да;2020-01-15;05-66/1;1.0;47760.0;47760.0;Друштво за производство,трговија и услуги ЕНТЕР ДОО Охрид увоз-извоз;ЈАНЕ САНДАНСКИ 26;ОХРИД;Република Македонија;Не;56357.0;47760.0;18;56356.8;2020-01-20
47;;Агенција за финансиска поддршка во земјоделството и руралниот развој;Бул.3-та Македонска Бригада бр20 (Мак.Табак Блок Ц);Скопје;1000;Превентивно одржување на софтверско решение за сметководство, финансии и ревизија;Услуги;Агенција за финансиска поддршка во земјоделството и руралниот развој  Булевар „Трета Македонска бригада“ бр.20 Скопје;Не;Не;Не;Не;;Не;12/30/2019;12/30/2020;Месеци: 12;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2019-12-30;39-3114/23;1.0;129864.0;129864.0;Друштво за информатички технологии ОПЕН МАЈНД СОЛУШНС увоз-извоз ДОО Скопје;БУЛЕВАР СВ. КЛИМЕНТ ОХРИДСКИ 20А/1-3;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;153400.0;129864.0;18;153239.52;2020-01-03
48;;ЈКП Брегалница Делчево;ул. М.М.Брицо бр.36;Делчево;2320;Угостителски услуги;Стоки;Делчево;Не;Не;Не;Не;;Не;;;Месеци: 12;Посебни услуги;Цена;Не;2020-01-22;0507-16/29-5/2019;1.0;8700.0;8700.0;Друштво за производство,трговија и услуги ДАМЈАНОВ ДЕЛ увоз-извоз Делчево;НИКОЛА ЈОНКОВ ВАПЦАРОВ ББ;ДЕЛЧЕВО;Република Македонија;Не;236000.0;200000.0;18;236000.0;2020-01-24
49;;Државен завод за ревизија;ул. „Павел Шатев“, бр.2, Палата ,,Емануел Чучков”;Скопје;1000;Набавка на услуга за мобилна телефонија;Услуги;Скопје;Не;Не;Не;Не;;Не;;;Месеци: 4;Постапка со преговарање без претходно објавување на оглас;Цена;Не;2019-12-31;26-671/19;1.0;678.0;678.0;Друштво за комуникациски услуги А1 МАКЕДОНИЈА ДООЕЛ Скопје;ПЛОШТАД ПРЕСВЕТА БОГОРОДИЦА 1;СКОПЈЕ - ЦЕНТАР;Република Македонија;Не;472000.0;400000.0;18;472000.0;2020-01-17
